City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
99,Alyangula,AU,66.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
100,Bafq,IR,86.49,clear sky,31.6128,55.4107,Alamdar Hotel
102,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
105,Oparino,RU,57.04,overcast clouds,59.8518,48.2783,"Gostinitsa ""Oparino"""
106,Phan Thiet,VN,78.96,scattered clouds,10.9333,108.1,Hotel Saigon-PT
107,Gwadar,PK,88.0,clear sky,25.1216,62.3254,Sadaf Resort
110,Marienburg,PL,57.87,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
111,Grindavik,IS,56.55,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
112,Bredasdorp,ZA,62.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
113,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
114,Northam,GB,62.67,overcast clouds,51.0333,-4.2167,Durrant House Hotel
115,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
116,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
117,Caldararu,RO,56.68,overcast clouds,44.45,24.95,Resedința SeBBa
120,Forrest City,US,75.06,overcast clouds,35.0081,-90.7898,Hampton Inn Forrest City
122,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
123,Bethel,US,66.45,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
125,Yellowknife,CA,53.33,scattered clouds,62.456,-114.3525,The Explorer Hotel
128,Nara,JP,69.08,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
129,Takoradi,GH,83.57,broken clouds,4.8845,-1.7554,Raybow International Hotel
130,Portland,US,59.52,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
131,Ornskoldsvik,SE,58.82,clear sky,63.2909,18.7153,ファーストホテル スタット
133,Ketchikan,US,50.47,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
134,Linda,US,81.52,clear sky,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
137,Oxford,GB,65.41,few clouds,51.7522,-1.256,Malmaison Oxford
138,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
139,Calabozo,VE,85.05,overcast clouds,8.9242,-67.4293,Hotel Giardini
140,Puerto Escondido,MX,88.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
142,Narsaq,GL,57.42,broken clouds,60.9167,-46.05,Narsaq Kayak Hostel
143,Kijang,KR,64.13,clear sky,35.2442,129.2139,Samyang Beach Villa
144,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
145,Katsuura,JP,70.2,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
146,Ahipara,NZ,57.49,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
147,Petropavlovka,RU,53.67,broken clouds,50.6114,105.3196,Tuyaa
148,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
149,Konde,TZ,76.95,scattered clouds,-4.95,39.75,
150,Ust-Shonosha,RU,54.16,clear sky,61.1531,41.343,
151,Coquimbo,CL,62.33,scattered clouds,-29.9533,-71.3436,Punto de encuentro
152,Carutapera,BR,86.7,clear sky,-1.195,-46.02,Lidera
153,Namatanai,PG,79.41,overcast clouds,-3.6667,152.4333,Namatanai Hotel
154,Bundaberg,AU,55.69,broken clouds,-24.85,152.35,Takalvan Motel
