City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
79,Macenta,GN,8.5435,-9.471,73.4,91,87,3.96,moderate rain
80,Jamestown,US,42.097,-79.2353,50.29,96,90,8.01,moderate rain
81,Chapais,CA,49.7834,-74.8492,40.78,22,1,11.74,clear sky
82,Fairbanks,US,64.8378,-147.7164,41.02,55,1,14.97,clear sky
83,Faya,SA,18.3851,42.4509,73.51,43,37,5.5,scattered clouds
84,Puerto Maldonado,PE,-12.6,-69.1833,88.2,66,20,4.61,few clouds
85,Pochutla,MX,15.7432,-96.4661,91.81,46,93,6.64,overcast clouds
86,Cayenne,GF,4.9333,-52.3333,87.84,75,75,4.0,broken clouds
87,Collecchio,IT,44.754,10.2184,76.19,44,20,6.91,few clouds
88,Valle De Allende,MX,26.9333,-105.4,87.12,11,0,11.43,clear sky
89,Nikolskoye,RU,59.7035,30.7861,57.78,69,64,8.03,broken clouds
90,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,20,8.75,few clouds
91,Sakakah,SA,29.9697,40.2064,99.97,9,0,9.15,clear sky
92,Westerland,DE,54.9079,8.3033,54.18,81,75,12.66,broken clouds
93,Lompoc,US,34.6391,-120.4579,58.68,93,90,12.12,overcast clouds
94,Trairi,BR,-3.2778,-39.2689,85.82,59,12,10.51,few clouds
95,Pasan,IN,22.85,82.2,79.47,70,98,5.1,overcast clouds
96,Vostok,RU,46.4856,135.8833,40.96,95,100,3.36,overcast clouds
97,Palencia,ES,42.4167,-4.5,74.91,47,100,4.03,overcast clouds
98,Slave Lake,CA,55.2834,-114.769,48.18,93,90,19.57,light rain
99,Alyangula,AU,-13.8483,136.4192,66.07,100,44,10.76,scattered clouds
100,Bafq,IR,31.6128,55.4107,86.49,15,0,12.35,clear sky
101,Qurayyat,SA,31.3318,37.3428,91.58,8,0,14.61,clear sky
102,Key West,US,24.5557,-81.7826,84.0,65,1,9.22,clear sky
103,Beringovskiy,RU,63.05,179.3167,29.59,91,67,10.58,broken clouds
104,Khatanga,RU,71.9667,102.5,37.24,91,100,10.8,overcast clouds
105,Oparino,RU,59.8518,48.2783,57.04,95,96,5.01,overcast clouds
106,Phan Thiet,VN,10.9333,108.1,78.96,87,45,3.06,scattered clouds
107,Gwadar,PK,25.1216,62.3254,88.0,66,0,15.21,clear sky
108,Coihaique,CL,-45.5752,-72.0662,46.35,66,75,10.36,broken clouds
109,Tiksi,RU,71.6872,128.8694,32.61,97,100,13.71,overcast clouds
110,Marienburg,PL,54.0359,19.0266,57.87,81,87,6.35,overcast clouds
111,Grindavik,IS,63.8424,-22.4338,56.55,87,90,47.98,moderate rain
112,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,7,14.2,clear sky
113,Georgetown,MY,5.4112,100.3354,82.35,87,20,1.99,few clouds
114,Northam,GB,51.0333,-4.2167,62.67,89,100,3.13,overcast clouds
115,Olinda,BR,-8.0089,-34.8553,73.13,88,75,15.03,broken clouds
